Player,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA
"Larkins, Trevor",4,34,12,9,43,4,4,1,,,,,,3,5,,,,,,,,
"Barlow, Paul",4,29,7,9,38,,1,1,5,,,,,6,6,,,,,,,,
"Thompson, Ewan",4,28,7,9,37,1,1,,7,,,,,6,2,,,,,,,,
"Robins, Haydn",4,22,11,15,37,1,1,,3,,,,,5,3,,,,,,,,
"Taylor, Troy",4,24,12,9,33,3,5,,14,,8,,8,2,3,,14,19,2,3,3,,
"Morrish, Paul",4,15,9,17,32,,1,,2,,,,,,5,,,,,,,,
"McGrath, Martin",4,20,9,11,31,6,3,,4,,4,,2,1,1,,14,14,3,4,2,1,
"McCormack, Peter",4,22,4,5,27,,,,,,,,,5,3,,,,,,,,
"White, James",4,16,3,8,24,1,2,,,,9,,2,1,1,,13,10,1,1,2,1,
"Trewella, Mark",4,16,10,8,24,4,3,,1,,,,,3,3,,,,,,,,
"Gwilliam, Brad",4,13,3,8,21,,,,3,,,,,4,1,,,,,,,,
"Smith, Anthony",4,15,3,6,21,1,,,,,,,,4,7,,,,,,,,
"Miles, Ian",4,15,2,4,19,,,,,,,,,2,,,,,,,,,
"Bauer, Jacob",4,14,8,4,18,4,,,2,,3,,8,1,4,,4,15,2,3,3,,
